":ID","length:INT"
"345","326"
"349","164"
"350","764"
"351","-228"
"352","83"
"353","102"
"357","196"
"358","675"
"359","299"
"360","824"
"361","452"
"363","-680"
"364","-74"
"365","169"
"366","171"
"367","26"
"369","421"
"370","188"
"371","149"
"372","413"
"373","709"
"377","718"
"378","544"
"379","287"
"380","632"
"381","252"
"383","98"
"384","107"
"385","360"
"386","499"
"387","-985"
"389","480"
"390","148"
"391","94"
"392","299"
"393","2"
"395","-588"
"396","613"
"397","83"
"398","-623"
"399","605"
"401","555"
"402","368"
"403","777"
"404","906"
"405","244"
"409","287"
"410","947"
"411","106"
"412","722"
"413","262"
"415","301"
"416","836"
"417","254"
"418","422"
"419","-144"
"421","710"
"422","576"
"423","481"
"424","638"
"425","781"
"427","409"
"428","78"
"429","34"
"430","-508"
"431","536"
"433","-376"
"434","68"
"435","124"
"436","629"
"437","320"
"439","697"
"440","1000"
"441","-825"
"442","856"
"443","835"
"447","126"
"448","620"
"449","323"
"450","333"
"451","-797"
"453","7"
"454","887"
"455","78"
"456","30"
"457","217"
"459","298"
"460","486"
"461","942"
"462","553"
"463","-391"
"465","843"
"466","989"
"467","724"
"468","480"
"469","333"
"473","490"
"474","-778"
"475","931"
"476","558"
"477","220"
"479","268"
"480","280"
"481","609"
"482","-855"
"483","400"
"485","316"
"486","9"
"487","941"
"488","134"
"489","947"
"496","773"
"497","386"
"498","340"
"499","597"
"500","995"
"502","196"
"503","953"
"504","473"
"505","514"
"506","214"
"508","972"
"509","708"
"510","669"
"511","974"
"512","44"
"514","35"
"515","383"
"516","902"
"517","578"
"518","832"
"520","154"
"521","882"
"522","579"
"523","19"
"524","-921"
"526","-212"
"527","566"
"528","441"
"529","823"
"530","588"
"532","-984"
"533","986"
"534","487"
"535","461"
"536","997"
"538","723"
"539","880"
"540","375"
"541","727"
"542","77"
"544","309"
"545","383"
"546","53"
"547","-571"
"548","447"
"552","395"
"553","950"
"554","569"
"555","452"
"556","887"
"558","702"
"559","68"
"560","634"
"561","852"
"562","364"
"564","875"
"565","989"
"566","837"
"567","-250"
"568","147"
"569","77"
"571","-843"
"572","835"
"573","27"
"574","149"
"575","723"
"577","348"
"578","-204"
"579","391"
"580","564"
"581","-169"
"583","268"
"584","468"
"585","781"
"586","82"
"587","963"
"589","668"
"590","78"
"591","573"
"592","808"
"593","631"
"595","44"
"596","700"
"597","918"
"598","648"
"599","300"
"603","-957"
"604","633"
"605","244"
"606","891"
"607","820"
"609","871"
"610","653"
"611","319"
"612","364"
"613","923"
"615","492"
"616","727"
"617","667"
"618","753"
"619","745"
"621","205"
"622","144"
"623","770"
"624","113"
"625","575"
"627","290"
"628","349"
"629","602"
"630","248"
"631","351"
"633","192"
"634","759"
"635","180"
"636","504"
"637","471"
"641","357"
"642","604"
"643","492"
"644","37"
"645","427"
"647","881"
"648","902"
"649","47"
"650","195"
"651","735"
"653","104"
"654","763"
"655","-97"
"656","929"
"657","710"
"659","317"
"660","813"
"661","914"
"662","258"
"663","655"
"665","511"
"666","-9"
"667","153"
"668","444"
"669","576"
"671","324"
"672","15"
"673","309"
"674","596"
"675","584"
"676","887"
"678","380"
"679","625"
"680","883"
"681","378"
"682","805"
"684","367"
"685","576"
"686","734"
"687","720"
"688","382"
"692","970"
"693","389"
"694","237"
"695","170"
"696","-807"
"698","704"
"699","123"
"700","460"
"701","719"
"702","738"
"704","979"
"705","354"
"706","455"
"707","272"
"708","655"
"710","793"
"711","286"
"712","25"
"713","667"
"714","921"
"716","248"
"717","390"
"718","871"
"719","387"
"720","358"
"722","556"
"723","225"
"724","957"
"725","481"
"726","14"
"728","-541"
"729","919"
"730","383"
"731","27"
"732","795"
"736","770"
"737","934"
"738","-746"
"739","899"
"740","15"
"742","623"
"743","711"
"744","689"
"745","56"
"746","177"
"748","302"
"749","386"
"750","514"
"751","827"
"752","88"
"754","123"
"755","131"
"756","329"
"757","959"
"758","159"
"760","-645"
"761","164"
"762","220"
"763","395"
"764","710"
"768","8"
"769","439"
"770","739"
"771","507"
"772","620"
"774","873"
"775","448"
"776","505"
"777","-579"
"778","322"
"780","403"
"781","568"
"782","977"
"783","772"
"784","904"
"786","824"
"787","726"
"788","733"
"789","563"
"790","355"
"794","894"
"795","262"
"796","546"
"797","395"
"798","162"
"800","528"
"801","918"
"802","153"
"803","910"
"804","997"
"806","196"
"807","151"
"808","795"
"809","166"
"810","742"
"812","663"
"813","986"
"814","889"
"815","319"
"816","89"
"818","802"
"819","335"
"820","26"
"821","779"
"822","876"
"824","665"
"825","557"
"826","199"
"827","788"
"828","437"
"830","830"
"831","179"
"832","555"
"833","608"
"834","689"
"836","540"
"837","775"
"838","430"
"839","995"
"840","899"
"842","277"
"843","-382"
"844","200"
"845","-504"
"846","846"
"850","811"
"851","354"
"852","-785"
"853","222"
"854","629"
"858","445"
"859","-732"
"860","626"
"861","180"
"862","208"
"864","793"
"865","551"
"866","852"
"867","418"
"868","631"
"870","581"
"871","929"
"872","406"
"873","491"
"874","484"
"876","34"
"877","181"
"878","356"
"879","348"
"880","913"
"882","70"
"883","950"
"884","124"
"885","361"
"886","796"
"888","260"
"889","727"
"890","688"
"891","391"
"892","-968"
"894","829"
"895","490"
"896","45"
"897","503"
"898","529"
"900","542"
"901","145"
"902","761"
"903","52"
"904","-936"
"908","782"
"909","-966"
"910","687"
"911","633"
"912","783"
"914","821"
"915","44"
"916","327"
"917","12"
"918","459"
"920","3"
"921","471"
"922","682"
"923","115"
"924","-515"
"931","678"
"932","899"
"933","893"
"934","401"
"935","197"
"937","388"
"938","246"
"939","175"
"940","446"
"941","214"
"943","541"
"944","491"
"945","555"
"946","720"
"947","681"
"949","99"
"950","175"
"951","425"
"952","186"
"953","148"
"955","-431"
"956","646"
"957","535"
"958","-524"
"959","84"
"961","257"
"962","26"
"963","343"
"964","881"
"965","296"
"967","-651"
"968","323"
"969","172"
"970","756"
"971","203"
"973","597"
"974","869"
"975","13"
"976","124"
"977","477"
"979","267"
"980","771"
"981","261"
"982","132"
"983","14"
"987","-523"
"988","674"
"989","478"
"990","86"
"991","898"
"993","301"
"994","608"
"995","123"
"996","251"
"997","-521"
"999","282"
"1000","548"
"1001","129"
"1002","-888"
"1003","599"
"1005","647"
"1006","681"
"1007","732"
"1008","309"
"1009","-181"
"1011","734"
"1012","-919"
"1013","527"
"1014","267"
"1015","-937"
"1017","589"
"1018","963"
"1019","77"
"1020","74"
"1021","147"
"1025","-585"
"1026","222"
"1027","263"
"1028","389"
"1029","-692"
"1033","7"
"1034","536"
"1035","502"
"1036","791"
"1037","688"
"1039","371"
"1040","344"
"1041","787"
"1042","33"
"1043","874"
"1045","547"
"1046","857"
"1047","-391"
"1048","862"
"1049","52"
"1051","879"
"1052","9"
"1053","279"
"1054","801"
"1055","210"
"1057","-265"
"1058","618"
"1059","961"
"1060","731"
"1061","601"
"1063","183"
"1064","433"
"1065","35"
"1066","996"
"1067","428"
"1069","508"
"1070","564"
"1071","178"
"1072","181"
"1073","924"
"1077","-479"
"1078","155"
"1079","572"
"1080","165"
"1081","954"
"1083","576"
"1084","337"
"1085","863"
"1086","196"
"1087","120"
"1088","857"
"1090","33"
"1091","649"
"1092","667"
"1093","998"
"1094","967"
"1096","94"
"1097","180"
"1098","848"
"1099","153"
"1100","200"
"1102","533"
"1103","895"
"1104","317"
"1105","845"
"1106","290"
"1108","72"
"1109","327"
"1110","86"
"1111","292"
"1112","-318"
"1114","728"
"1115","634"
"1116","281"
"1117","843"
"1118","304"
"1122","68"
"1123","2"
"1124","686"
"1125","560"
"1126","684"
"1127","721"
"1129","140"
"1130","-619"
"1131","125"
"1132","712"
"1133","357"
"1135","608"
"1136","691"
"1137","453"
"1138","171"
"1139","880"
"1141","216"
"1142","225"
"1143","-364"
"1144","631"
"1145","467"
"1149","424"
"1150","836"
"1151","314"
"1152","287"
"1153","679"
"1155","27"
"1156","57"
"1157","702"
"1158","770"
"1159","305"
"1161","515"
"1162","749"
"1163","-653"
"1164","490"
"1165","819"
"1169","908"
"1170","98"
"1171","318"
"1172","75"
"1173","305"
"1174","690"
"1176","768"
"1177","842"
"1178","881"
"1179","784"
"1180","559"
"1181","354"
"1183","244"
"1184","498"
"1185","262"
"1186","417"
"1187","729"
"1189","807"
"1190","443"
"1191","395"
"1192","685"
"1193","603"
"1195","710"
"1196","169"
"1197","801"
"1198","889"
"1199","252"
"1203","729"
"1204","147"
"1205","132"
"1206","705"
"1207","985"
"1209","-535"
"1210","185"
"1211","355"
"1212","249"
"1213","437"
"1215","390"
"1216","298"
"1217","263"
"1218","699"
"1219","881"
"1221","670"
"1222","718"
"1223","749"
"1224","-870"
"1225","711"
"1227","86"
"1228","694"
"1229","972"
"1230","535"
"1231","684"
"1233","819"
"1234","874"
"1235","988"
"1236","-390"
"1237","560"
"1241","653"
"1242","619"
"1243","812"
"1244","495"
"1245","381"
"1247","576"
"1248","912"
"1249","-496"
"1250","585"
"1251","688"
"1253","865"
"1254","401"
"1255","144"
"1256","-149"
"1257","995"
"1259","417"
"1260","634"
"1261","561"
"1262","473"
"1263","309"
"1265","209"
"1266","302"
"1267","41"
"1268","386"
"1269","957"
"1271","954"
"1272","154"
"1273","300"
"1274","665"
"1275","71"
"1277","-109"
"1278","931"
"1279","307"
"1280","182"
"1281","49"
"1283","608"
"1284","972"
"1285","-699"
"1286","-168"
"1287","800"
"1289","120"
"1290","193"
"1291","906"
"1292","99"
"1293","636"
"1297","822"
"1298","704"
"1299","589"
"1300","408"
"1301","847"
"1303","771"
"1304","469"
"1305","971"
"1306","724"
"1307","112"
"1309","833"
"1310","273"
"1311","367"
"1312","840"
"1313","78"
"1315","101"
"1316","272"
"1317","646"
"1318","598"
"1319","22"
"1321","310"
"1322","-933"
"1323","818"
"1324","484"
"1325","102"
"1326","-34"
"1328","78"
"1329","479"
"1330","852"
"1331","118"
"1332","62"
"1334","822"
"1335","930"
"1336","43"
"1337","380"
"1338","-852"
"1340","162"
"1341","622"
"1342","820"
"1343","831"
"1344","172"
"1351","481"
"1352","-884"
"1353","257"
"1354","544"
"1355","654"
"1357","7"
"1358","561"
"1359","16"
"1360","245"
"1361","951"
"1363","109"
"1364","145"
"1365","174"
"1366","23"
"1367","-211"
"1369","76"
"1370","761"
"1371","254"
"1372","186"
"1373","580"
"1375","759"
"1376","84"
"1377","10"
"1378","816"
"1379","-401"
"1381","104"
"1382","457"
"1383","63"
"1384","801"
"1385","721"
"1389","132"
"1390","850"
"1391","633"
"1392","745"
"1393","375"
"1395","121"
"1396","186"
"1397","818"
"1398","84"
"1399","996"
"1401","989"
"1402","846"
"1403","701"
"1404","104"
"1405","89"
"1407","853"
"1408","388"
"1409","259"
"1410","297"
"1411","962"
"1413","285"
"1414","111"
"1415","419"
"1416","734"
"1417","804"
"1424","525"
"1425","204"
"1426","459"
"1427","93"
"1428","110"
"1430","8"
"1431","650"
"1432","50"
"1433","954"
"1434","-351"
"1436","949"
"1437","65"
"1438","708"
"1439","731"
"1440","563"
"1444","823"
"1445","9"
"1446","368"
"1447","922"
"1448","-724"
"1450","131"
"1451","9"
"1452","211"
"1453","348"
"1454","313"
"1456","425"
"1457","332"
"1458","-545"
"1459","262"
"1460","908"
"1462","-954"
"1463","725"
"1464","718"
"1465","647"
"1466","393"
"1468","175"
"1469","978"
"1470","810"
"1471","-334"
"1472","716"
"1474","913"
"1475","879"
"1476","89"
"1477","768"
"1478","521"
"1480","763"
"1481","456"
"1482","-977"
"1483","636"
"1484","218"
"1486","66"
"1487","741"
"1488","355"
"1489","814"
"1490","814"
"1491","638"
"1495","149"
"1496","33"
"1497","284"
"1498","998"
"1499","825"
"1501","579"
"1502","436"
"1503","601"
"1504","611"
"1505","111"
"1507","393"
"1508","292"
"1509","-591"
"1510","850"
"1511","880"
"1515","947"
"1516","185"
"1517","424"
"1518","321"
"1519","778"
"1521","133"
"1522","973"
"1523","420"
"1524","283"
"1525","314"
"1527","-280"
"1528","207"
"1529","706"
"1530","888"
"1531","78"
"1533","717"
"1534","346"
"1535","1000"
"1536","138"
"1537","-908"
"1538","855"
"1540","777"
"1541","703"
"1542","894"
"1543","465"
"1544","895"
"1546","262"
"1547","111"
"1548","312"
"1549","703"
"1550","939"
"1554","86"
"1555","457"
"1556","930"
"1557","985"
"1558","49"
"1560","716"
"1561","188"
"1562","369"
"1563","934"
"1564","-484"
"1566","742"
"1567","-833"
"1568","657"
"1569","160"
"1570","885"
"1572","723"
"1573","900"
"1574","-703"
"1575","114"
"1576","957"
"1578","700"
"1579","963"
"1580","331"
"1581","390"
"1582","45"
"1586","109"
"1587","226"
"1588","407"
"1589","914"
"1590","817"
"1592","532"
"1593","43"
"1594","-100"
"1595","963"
"1596","378"
"1598","739"
"1599","944"
"1600","518"
"1601","464"
"1602","929"
"1604","489"
"1605","299"
"1606","55"
"1607","64"
"1608","632"
"1612","87"
"1613","-810"
"1614","108"
"1615","390"
"1616","734"
"1618","757"
"1619","753"
"1620","999"
"1621","-120"
"1622","126"
"1626","606"
"1627","143"
"1628","430"
"1629","-375"
"1630","254"
"1632","511"
"1633","552"
"1634","84"
"1635","15"
"1636","998"
"1638","782"
"1639","843"
"1640","621"
"1641","815"
"1642","153"
"1644","144"
"1645","404"
"1646","620"
"1647","933"
"1648","261"
"1650","-838"
"1651","224"
"1652","92"
"1653","499"
"1654","11"
"1656","723"
"1657","671"
"1658","254"
"1659","965"
"1660","335"
"1664","849"
"1665","844"
"1666","14"
"1667","818"
"1668","731"
"1670","-76"
"1671","78"
"1672","118"
"1673","275"
"1674","966"
"1676","442"
"1677","779"
"1678","288"
"1679","328"
"1680","361"
"1682","-892"
"1683","-208"
"1684","951"
"1685","35"
"1686","236"
"1688","512"
"1689","27"
"1690","490"
"1691","-969"
"1692","721"
"1693","230"
"1695","518"
"1696","919"
"1697","559"
"1698","38"
"1699","-689"
"1701","450"
"1702","991"
"1703","434"
"1704","952"
"1705","548"
"1707","483"
"1708","343"
"1709","445"
"1710","-716"
"1711","102"
"1713","985"
"1714","580"
"1715","-350"
"1716","63"
"1717","992"
"1721","-463"
"1722","682"
"1723","647"
"1724","911"
"1725","10"
"1727","946"
"1728","319"
"1729","568"
"1730","530"
"1731","400"
"1733","314"
"1734","290"
"1735","891"
"1736","874"
"1737","218"
"1739","66"
"1740","413"
"1741","714"
"1742","-874"
"1743","-242"
"1745","402"
"1746","500"
"1747","870"
"1748","407"
"1749","753"
"1753","-326"
"1754","655"
"1755","188"
"1756","451"
"1757","845"
"1761","978"
"1762","384"
"1763","417"
"1764","760"
"1765","62"
"1767","-547"
"1768","16"
"1769","774"
"1770","717"
"1771","823"
"1773","522"
"1774","-751"
"1775","992"
"1776","798"
"1777","171"
"1779","929"
"1780","227"
"1781","993"
"1782","541"
"1783","159"
"1785","168"
"1786","838"
"1787","566"
"1788","882"
"1789","959"
"1791","94"
"1792","997"
"1793","1000"
"1794","854"
"1795","368"
"1797","60"
"1798","58"
"1799","920"
"1800","684"
"1801","685"
"1803","861"
"1804","366"
"1805","835"
"1806","967"
"1807","-378"
"1809","683"
"1810","64"
"1811","986"
"1812","585"
"1813","606"
"1817","305"
"1818","381"
"1819","189"
"1820","772"
"1821","-194"
"1823","961"
"1824","179"
"1825","-320"
"1826","-783"
"1827","-891"
"1829","779"
"1830","275"
"1831","29"
"1832","255"
"1833","105"
"1835","322"
"1836","225"
"1837","975"
"1838","-889"
"1839","741"
"1841","645"
"1842","493"
"1843","306"
"1844","273"
"1845","975"
"1846","-243"
"1848","659"
"1849","349"
"1850","561"
"1851","563"
"1852","861"
"1859","958"
"1860","608"
"1861","799"
"1862","624"
"1863","-592"
"1867","961"
"1868","-888"
"1869","141"
"1870","608"
"1871","469"
"1873","459"
"1874","545"
"1875","103"
"1876","869"
"1877","757"
"1879","13"
"1880","914"
"1881","798"
"1882","728"
"1883","62"
"1885","323"
"1886","784"
"1887","667"
"1888","564"
"1889","142"
"1891","287"
"1892","436"
"1893","521"
"1894","672"
"1895","521"
"1897","654"
"1898","371"
"1899","569"
"1900","728"
"1901","29"
"1902","297"
"1904","9"
"1905","637"
"1906","194"
"1907","401"
"1908","800"
"1910","-487"
"1911","-47"
"1912","-448"
"1913","409"
"1914","-595"
"1918","742"
"1919","290"
"1920","524"
"1921","898"
"1922","224"
"1924","184"
"1925","843"
"1926","757"
"1927","-440"
"1928","576"
"1930","318"
"1931","795"
"1932","19"
"1933","700"
"1934","-297"
"1936","37"
"1937","738"
"1938","241"
"1939","458"
"1940","-893"
"1942","-780"
"1943","530"
"1944","574"
"1945","591"
"1946","137"
"1948","936"
"1949","721"
"1950","445"
"1951","212"
"1952","915"
"1956","715"
"1957","332"
"1958","200"
"1959","972"
"1960","200"
"1962","5"
"1963","246"
"1964","-516"
"1965","-272"
"1966","18"
"1968","319"
"1969","628"
"1970","-4"
"1971","838"
"1972","510"
"1974","859"
"1975","511"
"1976","55"
"1977","-129"
"1978","358"
"1982","965"
"1983","494"
"1984","829"
"1985","866"
"1986","-720"
"1988","563"
"1989","444"
"1990","558"
"1991","399"
"1992","131"
"1994","322"
"1995","717"
"1996","151"
"1997","363"
"1998","567"
"2002","758"
"2003","-850"
"2004","486"
"2005","464"
"2006","462"
"2008","319"
"2009","-540"
"2010","711"
"2011","245"
"2012","433"
"2014","389"
"2015","915"
"2016","600"
"2017","435"
"2018","495"
"2020","41"
"2021","115"
"2022","766"
"2023","997"
"2024","998"
"2026","952"
"2027","589"
"2028","307"
"2029","-370"
"2030","65"
"2032","420"
"2033","722"
"2034","-966"
"2035","-287"
"2036","807"
"2038","320"
"2039","580"
"2040","425"
"2041","810"
"2042","612"
"2046","163"
"2047","285"
"2048","832"
"2049","-190"
"2050","999"
"2052","271"
"2053","566"
"2054","583"
"2055","501"
"2056","791"
"2058","908"
"2059","-525"
"2060","872"
"2061","-934"
"2062","-81"
"2064","72"
"2065","166"
"2066","179"
"2067","38"
"2068","284"
"2070","755"
"2071","690"
"2072","401"
"2073","-804"
"2074","769"
"2076","722"
"2077","378"
"2078","-643"
"2079","-123"
"2080","-127"
"2082","322"
"2083","-457"
"2084","165"
"2085","314"
"2086","308"
"2090","458"
"2091","275"
"2092","679"
"2093","700"
"2094","489"
"2096","135"
"2097","57"
"2098","784"
"2099","279"
"2100","960"
"2102","192"
"2103","-73"
"2104","679"
"2105","426"
"2106","694"
"2108","80"
"2109","388"
"2110","937"
"2111","799"
"2112","33"
"2114","296"
"2115","724"
"2116","751"
"2117","911"
"2118","527"
"2122","355"
"2123","430"
"2124","929"
"2125","514"
"2126","499"
"2128","929"
"2129","806"
"2130","426"
"2131","-573"
"2132","423"
"2136","165"
"2137","85"
"2138","986"
"2139","399"
"2140","695"
"2142","327"
"2143","148"
"2144","45"
"2145","36"
"2146","609"
"2150","161"
"2151","928"
"2152","556"
"2153","837"
"2154","-72"
"2156","364"
"2157","678"
"2158","460"
"2159","232"
"2160","438"
"2164","691"
"2165","923"
"2166","548"
"2167","474"
"2168","296"
"2170","59"
"2171","788"
"2172","-472"
"2173","517"
"2174","152"
"2176","606"
"2177","244"
"2178","687"
"2179","478"
"2180","417"
"2182","668"
"2183","-811"
"2184","45"
"2185","856"
"2186","754"
"2188","-672"
"2189","471"
"2190","121"
"2191","880"
"2192","836"
"2194","767"
"2195","321"
"2196","57"
"2197","326"
"2198","669"
"2200","443"
"2201","-238"
"2202","912"
"2203","-573"
"2204","432"
"2208","749"
"2209","133"
"2210","47"
"2211","164"
"2212","972"
"2214","833"
"2215","226"
"2216","641"
"2217","335"
"2218","388"
"2220","492"
"2221","731"
"2222","900"
"2223","539"
"2224","990"
"2226","143"
"2227","676"
"2228","-401"
"2229","-475"
"2230","85"
"2232","252"
"2233","605"
"2234","798"
"2235","271"
"2236","710"
"2238","535"
"2239","-408"
"2240","39"
"2241","186"
"2242","803"
"2246","502"
"2247","206"
"2248","555"
"2249","262"
"2250","527"
"2252","827"
"2253","98"
"2254","924"
"2255","651"
"2256","317"
"2258","591"
"2259","251"
"2260","935"
"2261","906"
"2262","766"
"2264","456"
"2265","366"
"2266","-69"
"2267","-63"
"2268","24"
"2272","196"
"2273","830"
"2274","954"
"2275","-107"
"2276","191"
"2278","758"
"2279","597"
"2280","523"
"2281","412"
"2282","936"
"2284","330"
"2285","652"
"2286","734"
"2287","605"
"2288","268"
"2289","713"
"2291","-925"
"2292","295"
"2293","625"
"2294","763"
"2295","457"
"2297","-412"
"2298","-345"
"2299","598"
"2300","708"
"2301","430"
"2302","860"
"2304","841"
"2305","376"
"2306","185"
"2307","632"
"2308","757"
"2310","34"
"2311","885"
"2312","125"
"2313","728"
"2314","574"
"2316","778"
"2317","792"
"2318","759"
"2319","-265"
"2320","433"
"2322","25"
"2323","611"
"2324","518"
"2325","601"
"2326","323"
"2330","343"
"2331","768"
"2332","406"
"2333","-930"
"2334","502"
"2336","990"
"2337","175"
"2338","230"
"2339","614"
"2340","-34"
"2342","298"
"2343","-886"
"2344","820"
"2345","696"
"2346","-835"
"2348","-667"
"2349","27"
"2350","31"
"2351","894"
"2352","-512"
"2359","664"
"2360","940"
"2361","7"
"2362","-891"
"2363","-395"
"2365","894"
"2366","139"
"2367","549"
"2368","892"
"2369","924"
"2371","852"
"2372","777"
"2373","446"
"2374","-677"
"2375","-177"
"2377","746"
"2378","15"
"2379","459"
"2380","114"
"2381","657"
"2383","966"
"2384","206"
"2385","10"
"2386","341"
"2387","901"
"2391","78"
"2392","-965"
"2393","954"
"2394","534"
"2395","222"
"2397","121"
"2398","72"
"2399","76"
"2400","767"
"2401","589"
"2403","85"
"2404","669"
"2405","557"
"2406","621"
"2407","322"
"2409","216"
"2410","467"
"2411","82"
"2412","-917"
"2413","514"
"2415","463"
"2416","181"
"2417","721"
"2418","141"
"2419","489"
"2421","772"
"2422","700"
"2423","-454"
"2424","773"
"2425","121"
"2427","30"
"2428","647"
"2429","152"
"2430","724"
"2431","155"
"2435","121"
"2436","33"
"2437","857"
"2438","387"
"2439","20"
"2441","289"
"2442","327"
"2443","266"
"2444","665"
"2445","279"
"2447","948"
"2448","25"
"2449","724"
"2450","994"
"2451","323"
"2453","886"
"2454","882"
"2455","-389"
"2456","95"
"2457","94"
"2461","229"
"2462","224"
"2463","527"
"2464","699"
"2465","126"
"2469","238"
"2470","850"
"2471","808"
"2472","254"
"2473","566"
"2475","516"
"2476","364"
"2477","230"
"2478","596"
"2479","463"
"2481","799"
"2482","194"
"2483","55"
"2484","678"
"2485","69"
"2487","594"
"2488","902"
"2489","939"
"2490","606"
"2491","346"
"2498","959"
"2499","659"
"2500","934"
"2501","599"
"2502","258"
"2504","544"
"2505","913"
"2506","606"
"2507","700"
"2508","93"
"2510","288"
"2511","67"
"2512","510"
"2513","28"
"2514","524"
"2515","922"
"2517","648"
"2518","-450"
"2519","115"
"2520","635"
"2521","94"
"2523","457"
"2524","88"
"2525","194"
"2526","431"
"2527","339"
"2529","726"
"2530","781"
"2531","747"
"2532","-888"
"2533","452"
"2535","196"
"2536","278"
"2537","719"
"2538","-435"
"2539","861"
"2545","324"
"2546","752"
"2547","193"
"2548","-942"
"2549","411"
"2551","13"
"2552","773"
"2553","801"
"2554","-555"
"2555","257"
"2557","116"
"2558","-826"
"2559","143"
"2560","572"
"2561","628"
"2563","-993"
"2564","609"
"2565","873"
"2566","197"
"2567","178"
"2569","121"
"2570","115"
"2571","-428"
"2572","333"
"2573","712"
"2575","474"
"2576","143"
"2577","200"
"2578","314"
"2579","237"
"2583","896"
"2584","873"
"2585","753"
"2586","451"
"2587","247"
"2589","278"
"2590","259"
"2591","741"
"2592","170"
"2593","949"
"2595","237"
"2596","877"
"2597","852"
"2598","765"
"2599","458"
"2601","-139"
"2602","-283"
"2603","54"
"2604","291"
"2605","844"
"2607","346"
"2608","557"
"2609","174"
"2610","778"
"2611","764"
"2613","922"
"2614","498"
"2615","353"
"2616","953"
"2617","923"
"2619","738"
"2620","376"
"2621","705"
"2622","544"
"2623","493"
"2625","676"
"2626","875"
"2627","200"
"2628","997"
"2629","781"
"2633","578"
"2634","954"
"2635","225"
"2636","812"
"2637","627"
"2639","298"
"2640","868"
"2641","514"
"2642","630"
"2643","530"
"2645","-436"
"2646","559"
"2647","-719"
"2648","547"
"2649","966"
"2651","372"
"2652","68"
"2653","575"
"2654","828"
"2655","402"
"2657","-275"
"2658","304"
"2659","452"
"2660","744"
"2661","950"
"2663","932"
"2664","481"
"2665","33"
"2666","547"
"2667","490"
"2669","473"
"2670","735"
"2671","726"
"2672","506"
"2673","-229"
"2675","948"
